"","match_id","team.name","player.id","player.name","position.name","type.name"
"1375",3795108,"Spain",6720,"Pablo Sarabia García","Left Wing","Starting XI"
"1376",3795108,"Spain",3477,"Álvaro Borja Morata Martín","Center Forward","Starting XI"
"1377",3795108,"Spain",16532,"Daniel Olmo Carvajal","Left Wing","Substitution"
"1378",3795108,"Spain",6766,"Gerard Moreno Balaguero","Center Forward","Substitution"
"1379",3795108,"Spain",6840,"Marcos Llorente Moreno","Right Center Midfield","Substitution"
"1380",3795108,"Spain",6685,"Mikel Oyarzabal Ugarte","Center Forward","Substitution"
"1381",3795108,"Spain",5208,"Thiago Alcântara do Nascimento","Left Center Back","Substitution"
"1382",3795108,"Spain",6765,"Rodrigo Hernández Cascante","Left Center Midfield","Substitution"
"1383",3795108,"Switzerland",5550,"Yann Sommer","Goalkeeper","Starting XI"
"1384",3795108,"Switzerland",7796,"Silvan Widmer","Right Back","Starting XI"
"1385",3795108,"Switzerland",8814,"Nico Elvedi","Right Center Back","Starting XI"
"1386",3795108,"Switzerland",5549,"Manuel Obafemi Akanji","Left Center Back","Starting XI"
"1387",3795108,"Switzerland",5544,"Ricardo Iván Rodríguez Araya","Left Back","Starting XI"
"1388",3795108,"Switzerland",5538,"Denis Lemi Zakaria Lako Lado","Right Center Midfield","Starting XI"
"1389",3795108,"Switzerland",6983,"Remo Freuler","Left Center Midfield","Starting XI"
"1390",3795108,"Switzerland",5545,"Breel-Donald Embolo","Right Wing","Starting XI"
"1391",3795108,"Switzerland",3533,"Xherdan Shaqiri","Center Attacking Midfield","Starting XI"
"1392",3795108,"Switzerland",5548,"Steven Zuber","Left Wing","Starting XI"
"1393",3795108,"Switzerland",5543,"Haris Seferovic","Center Forward","Starting XI"
"1394",3795108,"Switzerland",30401,"Ruben Vargas","Right Wing","Substitution"
"1395",3795108,"Switzerland",16026,"Djibril Sow","Center Attacking Midfield","Substitution"
"1396",3795108,"Switzerland",5834,"Mario Gavranovic","Center Forward","Substitution"
